Entity,Year,Annual CO₂ emissions (per capita)
Lower-middle-income countries,1954,4.337.841
Luxembourg,1954,28.934.362
Macao,1954,11.089.532
Madagascar,1954,6.641.795
Malawi,1954,10.976.598
Malaysia,1954,10.603.694
Malta,1954,96.855.265
Mauritania,1954,0
Mauritius,1954,3.204.956
Mexico,1954,11.846.462
Moldova,1954,35.675.583
Mongolia,1954,58.662.534
Montenegro,1954,6.969.651
Morocco,1954,3.597.465
Mozambique,1954,18.321.574
Myanmar,1954,7.642.293
Nepal,1954,4.423.771
Netherlands,1954,5.492.503
New Caledonia,1954,7.581.168
New Zealand,1954,4.325.206
Nicaragua,1954,2.107.565
Niger,1954,8.867.874
Nigeria,1954,6.417.088
North America,1954,11.757.281
North America (excl. USA),1954,313.383
North Korea,1954,4.690.096
North Macedonia,1954,12.467.042
Norway,1954,29.109.414
Oceania,1954,5.668.696
Pakistan,1954,17.943.811
Panama,1954,66.774.845
Papua New Guinea,1954,5.636.156
Paraguay,1954,1.111.714
Peru,1954,72.630.477
Philippines,1954,24.198.796
Poland,1954,55.413.637
Portugal,1954,67.171.526
Qatar,1954,21.936.163
Romania,1954,19.421.763
Russia,1954,509.501
Rwanda,1954,48.993.435
Saint Lucia,1954,8.317.726
Saint Pierre and Miquelon,1954,70.116.944
Saint Vincent and the Grenadines,1954,105.273.746
Samoa,1954,11.447.973
Sao Tome and Principe,1954,56.687.552
Saudi Arabia,1954,35.612.342
Senegal,1954,11.454.734
Serbia,1954,14.207.962
Sierra Leone,1954,59.135.206
Singapore,1954,3.126.527
Sint Maarten (Dutch part),1954,7.718.865
Slovakia,1954,62.641.897
Slovenia,1954,16.836.752
Solomon Islands,1954,320.109
Somalia,1954,19.318.953
South Africa,1954,51.836.734
South America,1954,11.944.102
South Korea,1954,24.068.967
South Sudan,1954,25.688.965
Spain,1954,13.763.365
Sri Lanka,1954,20.804.957
Sudan,1954,107.323.125
Suriname,1954,15.311.325
Sweden,1954,477.914
Switzerland,1954,25.497.658
Syria,1954,14.870.872
Taiwan,1954,72.903.293
Tajikistan,1954,16.950.222
Tanzania,1954,6.343.785
Thailand,1954,90.842.284
Togo,1954,22.076.087
Tonga,1954,13.036.363
Trinidad and Tobago,1954,39.307.604
Tunisia,1954,3.609.478
Turkey,1954,5.773.188
Turkmenistan,1954,562.762
Tuvalu,1954,0
Uganda,1954,34.215.856
Ukraine,1954,44.997.783
United Kingdom,1954,10.849.724
United States,1954,15.735.587
Upper-middle-income countries,1954,10.894.525
Uruguay,1954,15.992.287
Uzbekistan,1954,32.814.977
Venezuela,1954,78.888.206
Vietnam,1954,9.706.516
World,1954,2.522.121
Yemen,1954,88.920.504
Zambia,1954,13.324.735
Zimbabwe,1954,14.936.585
Afghanistan,1955,19.303.724
Africa,1955,5.104.573
Albania,1955,45.607.167
Algeria,1955,44.976.026
Andorra,1955,0
Angola,1955,83.783.895
Argentina,1955,211.543
Armenia,1955,13.994.185
Aruba,1955,15.538.263
Asia,1955,44.023.353
Asia (excl. China and India),1955,7.640.213
Australia,1955,7.814.272
Austria,1955,41.849.804
Azerbaijan,1955,38.016.014
Bahamas,1955,13.870.082
Bahrain,1955,1.040.392
Bangladesh,1955,3.112.431
Barbados,1955,56.411.386
Belarus,1955,35.954.719
Belgium,1955,10.415.618
Belize,1955,36.637.712
Benin,1955,53.279.392
Bermuda,1955,28.070.893
Bhutan,1955,0
Bolivia,1955,27.710.783
Bonaire Sint Eustatius and Saba,1955,19.296.822
Bosnia and Herzegovina,1955,1.189.288
Brazil,1955,54.263.365
Brunei,1955,4.673.833
Bulgaria,1955,16.083.683
Burkina Faso,1955,8.267.702
Burundi,1955,30.205.972
Cambodia,1955,20.804.534
Cameroon,1955,50.200.995
Canada,1955,107.711.935
Cape Verde,1955,11.250.825
Central African Republic,1955,46.252.638
Chad,1955,16.334.243
Chile,1955,15.835.958
China,1955,31.578.833
Colombia,1955,883.921
Congo,1955,14.469.339
Costa Rica,1955,30.968.276
Cote d'Ivoire,1955,1.594.579
Croatia,1955,9.348.674
Cuba,1955,10.330.907
Curacao,1955,9.479.029
Cyprus,1955,84.374.964
Czechia,1955,8.154.481
Democratic Republic of Congo,1955,24.838.386
Denmark,1955,6.114.192
Djibouti,1955,50.184.906
Dominica,1955,7.057.282
Dominican Republic,1955,32.784.423
Ecuador,1955,29.771.733
Egypt,1955,4.463.631
El Salvador,1955,18.844.183
Equatorial Guinea,1955,1.490.558
Estonia,1955,8.951.494
Eswatini,1955,11.931.356
Ethiopia,1955,11.523.139
Europe,1955,5.608.118
Europe (excl. EU-27),1955,634.813
Europe (excl. EU-28),1955,49.757.514
European Union (27),1955,5.099.825
European Union (28),1955,59.035.277
Faroe Islands,1955,30.770.762
Fiji,1955,50.103.575
Finland,1955,25.795.584
France,1955,54.820.065
French Polynesia,1955,59.026.164
Gabon,1955,32.461.975
Gambia,1955,41.948.594
Georgia,1955,11.181.207
Germany,1955,10.158.266
Ghana,1955,20.164.824
Greece,1955,7.307.967
Greenland,1955,79.343.514
Grenada,1955,1.329.479
Guatemala,1955,2.571.936
Guinea,1955,51.460.344
Guinea-Bissau,1955,19.499.214
Guyana,1955,10.688.912
Haiti,1955,75.395.554
High-income countries,1955,7.596.113
Honduras,1955,24.269.818
Hong Kong,1955,7.545.315
Hungary,1955,36.346.693
Iceland,1955,5.783.723
India,1955,1.976.721
Indonesia,1955,26.811.805
Iran,1955,8.378.405
Iraq,1955,63.985.854
Ireland,1955,4.058.644
Israel,1955,30.770.547
Italy,1955,15.222.338
Jamaica,1955,63.441.026
Japan,1955,15.748.093
Jordan,1955,61.204.153
Kazakhstan,1955,8.755.634
Kenya,1955,30.269.733
Kuwait,1955,10.065.221
Kyrgyzstan,1955,3.054.038
Laos,1955,1.354.608
Latvia,1955,3.360.432
Lebanon,1955,10.417.508
Liberia,1955,57.826.344
Libya,1955,3.497.504
Lithuania,1955,39.146.116
Low-income countries,1955,15.609.695
Lower-middle-income countries,1955,4.909.394
Luxembourg,1955,3.235.407
Macao,1955,11.229.504
Madagascar,1955,6.807.064
Malawi,1955,12.688.252
Malaysia,1955,10.948.474
Malta,1955,10.529.842
Mauritania,1955,0
Mauritius,1955,21.485.452
Mexico,1955,12.610.267
Moldova,1955,3.930.893
Mongolia,1955,69.811.124
Montenegro,1955,78.654.736
Morocco,1955,34.707.505
Mozambique,1955,21.735.293
Myanmar,1955,7.280.692
Nepal,1955,473.543
Netherlands,1955,5.663.725
New Caledonia,1955,9.997.771
New Zealand,1955,4.387.167
Nicaragua,1955,25.457.257
Niger,1955,8.576.294
Nigeria,1955,660.322
North America,1955,12.566.824
North America (excl. USA),1955,317.346
North Korea,1955,708.945
North Macedonia,1955,14.104.533
Norway,1955,33.285.115
Oceania,1955,587.014
Pakistan,1955,1.812.918
Palau,1955,1.327.857
Panama,1955,72.875
Papua New Guinea,1955,7.391.658
Paraguay,1955,112.987.354
Peru,1955,6.938.679
Philippines,1955,2.872.853
Poland,1955,5.690.291
Portugal,1955,745.506
Qatar,1955,14.559.956
Romania,1955,21.072.354
Russia,1955,5.686.097
Rwanda,1955,56.924.615
Saint Lucia,1955,12.423.006
Saint Pierre and Miquelon,1955,7.713.684
Saint Vincent and the Grenadines,1955,102.008.715
Samoa,1955,112.101.495
Sao Tome and Principe,1955,5.609.995
Saudi Arabia,1955,59.022.284
Senegal,1955,10.265.399
Serbia,1955,1.612.024
Sierra Leone,1955,8.578.189
Singapore,1955,31.971.738
Sint Maarten (Dutch part),1955,6.038.796
Slovakia,1955,6.381.582
Slovenia,1955,19.072.558
Solomon Islands,1955,93.690.865
Somalia,1955,2.606.885
South Africa,1955,56.828.437
South America,1955,13.086.175
South Korea,1955,29.194.722
South Sudan,1955,28.640.393
Spain,1955,13.841.319
Sri Lanka,1955,19.008.335
Sudan,1955,11.811.174
Suriname,1955,13.710.523
Sweden,1955,53.818.326
Switzerland,1955,27.215.238
Syria,1955,41.213.927
Taiwan,1955,7.798.264
Tajikistan,1955,18.615.801
Tanzania,1955,6.382.704
Thailand,1955,1.023.876
Togo,1955,26.536.128
Tonga,1955,12.625.122
Trinidad and Tobago,1955,3.665.381
Tunisia,1955,40.144.366
Turkey,1955,57.173.187
Turkmenistan,1955,6.207.932
Tuvalu,1955,0
Uganda,1955,39.928.608
Ukraine,1955,5.032.051
United Kingdom,1955,11.270.068
United States,1955,16.932.928
Upper-middle-income countries,1955,12.152.884
Uruguay,1955,16.564.076
Uzbekistan,1955,36.151.257
Venezuela,1955,8.849.186
Vietnam,1955,124.669.924
World,1955,27.107.303
Yemen,1955,48.789.892
Zambia,1955,15.258.148
Zimbabwe,1955,17.079.899
Afghanistan,1956,22.651.596
Africa,1956,52.109.855
Albania,1956,5.589.598
Algeria,1956,47.693.816
Andorra,1956,0
Angola,1956,9.988.051
Argentina,1956,2.327.585
Armenia,1956,14.866.273
Aruba,1956,19.413.446
Asia,1956,47.805.512
Asia (excl. China and India),1956,83.168.477
Australia,1956,800.466
Austria,1956,4.057.253
Azerbaijan,1956,40.589.905
Bahamas,1956,14.500.161
Bahrain,1956,7.581.561
Bangladesh,1956,35.991.516
Barbados,1956,56.091.124
Belarus,1956,39.139.733
Belgium,1956,10.896.852
Belize,1956,35.653.296
Benin,1956,6.104.011
Bermuda,1956,34.185.998
Bhutan,1956,0
Bolivia,1956,32.336.286
Bonaire Sint Eustatius and Saba,1956,24.999.866
Bosnia and Herzegovina,1956,1.3327
Brazil,1956,56.630.087
Brunei,1956,4.350.077
Bulgaria,1956,17.070.715
Burkina Faso,1956,9.450.682
Burundi,1956,34.563.995
Cambodia,1956,2.611.005
Cameroon,1956,5.008.515
Canada,1956,11.740.081
Cape Verde,1956,14.843.698
Central African Republic,1956,5.925.087
Chad,1956,20.865.386
Chile,1956,15.816.286
China,1956,3.502.027
Colombia,1956,90.567.565
Congo,1956,18.390.502
Costa Rica,1956,4.153.032
Cote d'Ivoire,1956,17.913.832
Croatia,1956,10.605.443
Cuba,1956,87.249.285
Curacao,1956,1.192.901
Cyprus,1956,12.407.103
Czechia,1956,8.686.185
Democratic Republic of Congo,1956,22.776.546
Denmark,1956,5.913.663
Djibouti,1956,38.879.973
Dominica,1956,69.166.005
Dominican Republic,1956,34.122.202
Ecuador,1956,31.365.952
Egypt,1956,40.657.946
El Salvador,1956,2.101.667
Equatorial Guinea,1956,14.661.747
Estonia,1956,9.717.144
Eswatini,1956,11.652.054
Ethiopia,1956,120.084.295
Europe,1956,591.675
Europe (excl. EU-27),1956,6.636.127
Europe (excl. EU-28),1956,53.858.194
European Union (27),1956,5.420.039
European Union (28),1956,61.667.643
Faroe Islands,1956,35.097.954
Fiji,1956,54.838.526
Finland,1956,28.414.545
France,1956,6.107.918
French Polynesia,1956,5.720.754
Gabon,1956,41.897.655
Gambia,1956,51.065.207
Georgia,1956,12.098.134
Germany,1956,10.719.962
Ghana,1956,17.725.094
Greece,1956,7.633.926
Greenland,1956,52.477.417
Grenada,1956,12.990.911
Guatemala,1956,2.671.581
Guinea,1956,5.861.613
Guinea-Bissau,1956,19.397.635
Guyana,1956,10.995.408
Haiti,1956,7.294.736
High-income countries,1956,79.145.026
Honduras,1956,24.566.644
Hong Kong,1956,8.137.875
Hungary,1956,33.653.407
Iceland,1956,58.916.993
India,1956,20.030.674
Indonesia,1956,2.737.973
Iran,1956,11.797.545
Iraq,1956,97.597.045
Ireland,1956,38.064.344
Israel,1956,2.948.747
Italy,1956,17.245.687
Jamaica,1956,8.024.423
Japan,1956,176.481
Jordan,1956,6.771.362
Kazakhstan,1956,9.285.735
Kenya,1956,32.815.766
Kuwait,1956,5.099.938
Kyrgyzstan,1956,3.272.728
Laos,1956,30.257.236
Latvia,1956,36.455.827
Lebanon,1956,11.767.578
Liberia,1956,4.594.548
Libya,1956,26.191.488
Lithuania,1956,42.480.793
Low-income countries,1956,16.809.142
Lower-middle-income countries,1956,52.252.936
Luxembourg,1956,33.744.488
Macao,1956,13.307.253
Madagascar,1956,6.958.664
Malawi,1956,13.546.853
Malaysia,1956,10.839.187
Malta,1956,9.028.419
Mauritania,1956,0
Mauritius,1956,35.948.765
Mexico,1956,13.034.148
Moldova,1956,41.861.377
Mongolia,1956,7.969.051
Montenegro,1956,8.865.971
Morocco,1956,3.340.916
Mozambique,1956,24.248.438
Myanmar,1956,83.066.754
Nepal,1956,5.035.678
Netherlands,1956,596.758
New Caledonia,1956,16.269.665
New Zealand,1956,44.251.013
Nicaragua,1956,23.781.331
Niger,1956,963.922
Nigeria,1956,7.237.039
North America,1956,12.965.172
North America (excl. USA),1956,3.433.519
North Korea,1956,84.943.545
North Macedonia,1956,16.012.387
Norway,1956,34.527.307
Oceania,1956,6.029.933
Pakistan,1956,21.039.192
Palau,1956,12.871.194
Panama,1956,63.295.704
Papua New Guinea,1956,7.196.179
Paraguay,1956,11.466.865
Peru,1956,69.525.254
Philippines,1956,25.967.044
Poland,1956,6.033.538
Portugal,1956,822.624
Qatar,1956,17.005.178
Romania,1956,2.308.077
Russia,1956,6.134.123
Rwanda,1956,64.310.594
Saint Lucia,1956,12.359.727
Saint Pierre and Miquelon,1956,69.045.224
Saint Vincent and the Grenadines,1956,987.854
Samoa,1956,109.575.935
Sao Tome and Principe,1956,11.114.313
Saudi Arabia,1956,4.418.608
Senegal,1956,11.665.182
Serbia,1956,18.276.016
Sierra Leone,1956,8.288.368
Singapore,1956,3.073.644
Sint Maarten (Dutch part),1956,737.352
Slovakia,1956,672.165
Slovenia,1956,21.585.412
Solomon Islands,1956,9.137.157
Somalia,1956,26.822.913
South Africa,1956,58.373.923
South America,1956,13.787.397
South Korea,1956,33.189.115
South Sudan,1956,27.253.186
Spain,1956,14.433.476
Sri Lanka,1956,1.587.276
Sudan,1956,11.097.392
Suriname,1956,1.452.933
Sweden,1956,59.319.963
Switzerland,1956,3.367.764
Syria,1956,4.885.729
Taiwan,1956,8.032.453
Tajikistan,1956,19.775.759
Tanzania,1956,73.525
Thailand,1956,10.998.199
Togo,1956,26.096.968
Tonga,1956,12.221.481
Trinidad and Tobago,1956,37.705.562
Tunisia,1956,38.538.462
Turkey,1956,58.671.075
Turkmenistan,1956,66.208.553
Tuvalu,1956,0
Uganda,1956,38.816.527
Ukraine,1956,54.400.897
United Kingdom,1956,11.168.912
United States,1956,17.432.253
Upper-middle-income countries,1956,13.029.416
Uruguay,1956,16.774.938
Uzbekistan,1956,38.583.918
Venezuela,1956,9.260.314
Vietnam,1956,10.016.689
World,1956,2.829.694
Yemen,1956,45.029.247
Zambia,1956,1.614.576
Zimbabwe,1956,18.056.937
Afghanistan,1957,357.019
Africa,1957,5.340.307
Albania,1957,97.162.575
Algeria,1957,51.732.713
Andorra,1957,0
Angola,1957,121.207
Antigua and Barbuda,1957,42.065.784
Argentina,1957,24.585.977
Armenia,1957,15.732.052
Aruba,1957,128.187.065
Asia,1957,5.260.619
Asia (excl. China and India),1957,891.681
Australia,1957,7.8264
Austria,1957,4.189.154
Azerbaijan,1957,43.168.073
Bahamas,1957,17.584.387
Bahrain,1957,5.244.688
Bangladesh,1957,36.269.337
Barbados,1957,59.077.716
Belarus,1957,4.245.574
Belgium,1957,10.802.443
Belize,1957,34.701.487
Benin,1957,61.789.647
Bermuda,1957,34.617.603
Bhutan,1957,0
Bolivia,1957,28.777.543
Bonaire Sint Eustatius and Saba,1957,17.063.908
Bosnia and Herzegovina,1957,14.190.801
Brazil,1957,53.965.795
Brunei,1957,4.048.731
Bulgaria,1957,18.754.569
Burkina Faso,1957,95.512.543
Burundi,1957,38.745.524
Cambodia,1957,31.147.156
Cameroon,1957,5.297.557
Canada,1957,1.097.963
Cape Verde,1957,91.658.205
Central African Republic,1957,62.597.394
Chad,1957,21.987.805
Chile,1957,15.343.648
China,1957,40.600.595
Colombia,1957,9.526.428
Congo,1957,19.274.862
Costa Rica,1957,38.246.918
Cote d'Ivoire,1957,17.782.548
Croatia,1957,11.410.387
Cuba,1957,2.028.991
Curacao,1957,7.921.865
Cyprus,1957,14.773.372
Czechia,1957,9.014.929
Democratic Republic of Congo,1957,23.354.943
Denmark,1957,5.544.255
Djibouti,1957,5.646.696
Dominica,1957,6.743.103
Dominican Republic,1957,34.591.964
Ecuador,1957,2.663.626
Egypt,1957,4.751.799
El Salvador,1957,2.320.203
Equatorial Guinea,1957,12.979.202
Estonia,1957,10.537.551
Eswatini,1957,11.381.179
Ethiopia,1957,15.724.493
Europe,1957,6.110.579
Europe (excl. EU-27),1957,69.188.485
Europe (excl. EU-28),1957,57.927.284
European Union (27),1957,5.549.516
European Union (28),1957,6.261.429
Faroe Islands,1957,29.074.926
Fiji,1957,45.136.124
Finland,1957,28.306.196
France,1957,62.586.603
French Polynesia,1957,6.493.411
Gabon,1957,44.591.103
Gambia,1957,5.967.103
Georgia,1957,13.044.702
Germany,1957,10.838.651
Ghana,1957,20.609.188
Greece,1957,81.955.343
Greenland,1957,5.690.445
Grenada,1957,1.266.447
Guatemala,1957,26.171.714
Guinea,1957,59.042.078
Guinea-Bissau,1957,19.300.532
Guyana,1957,10.341.419
Haiti,1957,68.599.954
High-income countries,1957,7.879.898
Honduras,1957,3.021.227
Hong Kong,1957,86.600.494
Hungary,1957,3.908.046
Iceland,1957,584.934
India,1957,2.197.831
Indonesia,1957,274.347
Iran,1957,11.006.571
Iraq,1957,8.931.856
Ireland,1957,34.048.314
Israel,1957,30.619.404
Italy,1957,1.789.509
Jamaica,1957,10.112.348
Japan,1957,2.047.817
Jordan,1957,69.619.006
Kazakhstan,1957,9.822.508
Kenya,1957,3.265.564
Kuwait,1957,9.845.713
Kyrgyzstan,1957,34.962.428
Laos,1957,29.569.536
Latvia,1957,39.462.316
Lebanon,1957,12.516.952
Liberia,1957,7.945.646
Libya,1957,24.038.154
Lithuania,1957,45.934.587
Low-income countries,1957,19.642.833
Lower-middle-income countries,1957,55.672.646
Luxembourg,1957,35.089.443
Macao,1957,15.491.864
Madagascar,1957,670.713
Malawi,1957,13.645.148
Malaysia,1957,48.945.084
Malta,1957,9.363.603
Mauritania,1957,0
Mauritius,1957,35.067.627
Mexico,1957,14.825.058
Moldova,1957,4.449.609
Mongolia,1957,85.730.356
Montenegro,1957,9.494.262
Morocco,1957,28.191.748
Mozambique,1957,2.724.593
Myanmar,1957,103.092.365
Nepal,1957,57.052.434
Netherlands,1957,5.830.801
New Caledonia,1957,14.470.814
New Zealand,1957,4.609.919
Nicaragua,1957,25.543.848
Niger,1957,9.584.866
Nigeria,1957,7.507.105
North America,1957,12.617.422
North America (excl. USA),1957,33.848.531
North Korea,1957,10.450.572
North Macedonia,1957,17.094.725
Norway,1957,32.520.964
Oceania,1957,5.926.848
Pakistan,1957,2.126.835
Palau,1957,16.626.205
Panama,1957,73.974.437
Papua New Guinea,1957,80.041.245
Paraguay,1957,12.034.781
Peru,1957,71.475.554
Philippines,1957,2.672.678
Poland,1957,63.642.216
Portugal,1957,88.957.316
Qatar,1957,10.079.617
Romania,1957,25.680.683
Russia,1957,6.606.758
Rwanda,1957,7.118.108
Saint Lucia,1957,12.288.567
Saint Pierre and Miquelon,1957,8.414.196
Saint Vincent and the Grenadines,1957,9.557.721
Samoa,1957,14.214.635
Sao Tome and Principe,1957,16.535.291
Saudi Arabia,1957,55.219.793
Senegal,1957,11.532.299
Serbia,1957,19.713.259
Sierra Leone,1957,17.671.376
Singapore,1957,12.346.705
Sint Maarten (Dutch part),1957,477.602
Slovakia,1957,6.894.939
Slovenia,1957,23.183.382
Solomon Islands,1957,89.087
Somalia,1957,27.527.275
South Africa,1957,58.518.734
South America,1957,14.047.863
South Korea,1957,34.963.322
South Sudan,1957,3.444.924
Spain,1957,16.976.907
Sri Lanka,1957,25.420.457
Sudan,1957,13.848.773
Suriname,1957,15.422.212
Sweden,1957,5.278.949
Switzerland,1957,34.487.894
Syria,1957,46.976.903
Taiwan,1957,82.577.074
Tajikistan,1957,2.095.437
Tanzania,1957,8.262.073
Thailand,1957,119.459.264
Togo,1957,30.328.384
Tonga,1957,11.850.702
Trinidad and Tobago,1957,32.683.504
Tunisia,1957,384.657
Turkey,1957,63.275.427
Turkmenistan,1957,7.029.236
Tuvalu,1957,0
Uganda,1957,3.981.034
Ukraine,1957,586.878
United Kingdom,1957,11.042.717
United States,1957,16.985.847
Upper-middle-income countries,1957,14.032.962
Uruguay,1957,18.239.229
Uzbekistan,1957,41.030.884
Venezuela,1957,9.539.131
Vietnam,1957,96.224.666
World,1957,28.642.392
Yemen,1957,56.205.493
Zambia,1957,16.125.041
Zimbabwe,1957,18.024.149
Afghanistan,1958,39.568.856
Africa,1958,5.485.227
Albania,1958,7.504.532
Algeria,1958,4.768.813
Andorra,1958,0
Angola,1958,1.143.276
Antigua and Barbuda,1958,55.015.016
Argentina,1958,22.438.035
Armenia,1958,16.230.505
Aruba,1958,10.867.533
Asia,1958,6.937.611
Asia (excl. China and India),1958,9.077.827
Australia,1958,79.097.896
Austria,1958,401.999
Azerbaijan,1958,44.728.765
Bahamas,1958,17.193.147
Bahrain,1958,8.650.552
Bangladesh,1958,39.716.173
Barbados,1958,6.521.413
Belarus,1958,44.857.745
Belgium,1958,9.756.159
Belize,1958,46.455.657
Benin,1958,50.984.528
Bermuda,1958,3.590.309
Bhutan,1958,0
Bolivia,1958,25.736.645
Bonaire Sint Eustatius and Saba,1958,14.890.107
Bosnia and Herzegovina,1958,1.371.656
Brazil,1958,5.681.734
Brunei,1958,4.155.603
Bulgaria,1958,2.016.539
Burkina Faso,1958,78.765.245
Burundi,1958,38.022.727
Cambodia,1958,37.342.522
Cameroon,1958,56.458.335
Canada,1958,10.644.015
Cape Verde,1958,72.287.135
Central African Republic,1958,7.062.643
Chad,1958,24.750.488
Chile,1958,15.949.364
China,1958,8.148.865
Colombia,1958,94.689.023
Congo,1958,21.571.037
Costa Rica,1958,35.714.582
Cote d'Ivoire,1958,14.388.405
Croatia,1958,11.159.823
Cuba,1958,25.799.317
Curacao,1958,6.741.087
Cyprus,1958,13.592.094
Czechia,1958,9.798.032
Democratic Republic of Congo,1958,20.083.188
Denmark,1958,59.253.597
Djibouti,1958,59.235.674
Dominica,1958,13.087.584
Dominican Republic,1958,34.521.982
Ecuador,1958,30.272.985
Egypt,1958,532.376
El Salvador,1958,22.629.431
Equatorial Guinea,1958,18.438.575
Estonia,1958,11.163.336
Eswatini,1958,1.111.836
Ethiopia,1958,15.307.465
Europe,1958,61.139.913
Europe (excl. EU-27),1958,7.051.703
Europe (excl. EU-28),1958,6.063.127
European Union (27),1958,54.600.353
European Union (28),1958,61.383.023
Faroe Islands,1958,3.528.484
Fiji,1958,46.640.378
Finland,1958,24.326.906
France,1958,59.469.895
French Polynesia,1958,6.341.059
Gabon,1958,5.066.497
Gambia,1958,67.769.915
Georgia,1958,13.709.103
Germany,1958,1.048.539
Ghana,1958,21.037.275
Greece,1958,8.881.375
Greenland,1958,7.697.479
Grenada,1958,16.434.547
Guatemala,1958,29.143.393
Guinea,1958,48.510.596
Guinea-Bissau,1958,19.205.937
Guyana,1958,8.552.451
Haiti,1958,7.314.504
High-income countries,1958,7.616.795
Honduras,1958,29.902.607
Hong Kong,1958,83.119.977
Hungary,1958,39.720.886
Iceland,1958,64.797.845
India,1958,22.476.363
Indonesia,1958,26.493.216
Iran,1958,12.430.892
Iraq,1958,98.076.755
Ireland,1958,31.550.233
Israel,1958,3.155.414
Italy,1958,17.902.623
Jamaica,1958,84.485.966
Japan,1958,19.548.758
Jordan,1958,6.925.461
Kazakhstan,1958,10.132.613
Kenya,1958,28.900.135
Kuwait,1958,15.008.697
Kyrgyzstan,1958,3.638.416
Laos,1958,3.612.356
Latvia,1958,41.643.643
Lebanon,1958,11.667.725
Liberia,1958,14.859.329
Libya,1958,26.334.748
Lithuania,1958,48.415.494
Low-income countries,1958,21.724.384
Lower-middle-income countries,1958,5.811.478
Luxembourg,1958,32.474.606
Macao,1958,15.818.758
Madagascar,1958,7.754.919
Malawi,1958,11.919.707
Malaysia,1958,5.188.542
Malta,1958,98.331.326
Mauritania,1958,0
Mauritius,1958,3.248.535
Mexico,1958,15.801.036
Moldova,1958,4.615.653
Mongolia,1958,12.404.008
Montenegro,1958,92.275.923
Morocco,1958,2.932.825
Mozambique,1958,27.606.967
Myanmar,1958,11.589.554
Nepal,1958,5.978.973
Netherlands,1958,5.958.873
New Caledonia,1958,9.730.332
New Zealand,1958,4.452.098
Nicaragua,1958,3.566.117
Niger,1958,77.771.954
Nigeria,1958,8.613.211
North America,1958,12.029.187
North America (excl. USA),1958,33.958.738
North Korea,1958,140.751
North Macedonia,1958,16.646.458
Norway,1958,31.746.132
Oceania,1958,59.268.723
Pakistan,1958,23.344.253
Palau,1958,16.153.423
Panama,1958,87.440.675
Papua New Guinea,1958,778.943
Paraguay,1958,13.380.763
Peru,1958,7.678.402
Philippines,1958,28.741.962
Poland,1958,618.299
Portugal,1958,85.857.713
Qatar,1958,5.223.579
Romania,1958,27.525.988
Russia,1958,69.439.282
Rwanda,1958,6.896.352
Saint Lucia,1958,12.206.688
Saint Pierre and Miquelon,1958,830.839
Saint Vincent and the Grenadines,1958,13.866.007
Samoa,1958,103.342.265
Sao Tome and Principe,1958,109.358.445
Saudi Arabia,1958,5.098.241
Senegal,1958,11.468.009
Serbia,1958,19.302.835
Sierra Leone,1958,93.653.515
Singapore,1958,15.631.325
Sint Maarten (Dutch part),1958,39.527.673
Slovakia,1958,7.409.008
Slovenia,1958,22.620.473
Solomon Islands,1958,86.780.086
Somalia,1958,30.878.276
South Africa,1958,61.304.398
South America,1958,12.662.007
South Korea,1958,37.138.322
South Sudan,1958,3.793.316
Spain,1958,18.713.192
Sri Lanka,1958,208.895
Sudan,1958,15.037.094
Suriname,1958,12.721.511
Sweden,1958,56.827.292
Switzerland,1958,31.335.843
Syria,1958,49.927.983
Taiwan,1958,93.301.785
Tajikistan,1958,21.642.318
Tanzania,1958,8.457.455
Thailand,1958,12.004.224
Togo,1958,29.823.253
Tonga,1958,1.151.459
Trinidad and Tobago,1958,4.313.547
Tunisia,1958,3.506.123
Turkey,1958,6.165.432
Turkmenistan,1958,72.713.532
Tuvalu,1958,0
Uganda,1958,40.713.936
Ukraine,1958,6.175.969
United Kingdom,1958,10.706.449
United States,1958,16.145.485
Upper-middle-income countries,1958,16.587.365
Uruguay,1958,16.149.194
Uzbekistan,1958,42.543.797
Venezuela,1958,7.187.145
Vietnam,1958,16.279.653
World,1958,28.864.362
Yemen,1958,35.202.742
Zambia,1958,13.970.354
Zimbabwe,1958,15.613.431
Afghanistan,1959,4.541.344
Africa,1959,53.325.933
Albania,1959,8.720.845
Algeria,1959,5.066.991
Andorra,1959,0
Angola,1959,11.738.091
Antigua and Barbuda,1959,53.960.717
Argentina,1959,2.444.442
Armenia,1959,16.475.381
Aruba,1959,13.556.667
Asia,1959,8.213.183
Asia (excl. China and India),1959,9.446.901
Australia,1959,8.252.972
Austria,1959,39.793.963
Azerbaijan,1959,45.572.333
Bahamas,1959,2.381.246
Bahrain,1959,8.479.178
Bangladesh,1959,3.754.736
Barbados,1959,6.491.457
Belarus,1959,46.633.134
Belgium,1959,9.758.676
Belize,1959,4.524.574
Benin,1959,41.426.208
Bermuda,1959,32.725.341
Bhutan,1959,0
Bolivia,1959,26.123.694
Bonaire Sint Eustatius and Saba,1959,19.056.206
Bosnia and Herzegovina,1959,15.421.499
Brazil,1959,5.504.603
Brunei,1959,4.022.549
Bulgaria,1959,25.089.974
Burkina Faso,1959,15.540.273
Burundi,1959,14.457.378
Cambodia,1959,39.214.984
Cameroon,1959,55.374.883
Canada,1959,10.526.808
Cape Verde,1959,8.871.578
Central African Republic,1959,5.993.918
Chad,1959,20.963.518
Chile,1959,15.931.878
China,1959,11.042.234
